id,wave,mstat,pcnt,kcnt,finhelp,nonfinhelp,guide,caresupport,hhres,interact_f,majong_f,provhelp_f,sport_f,community_f,volunteer_f,sccare_f,course_f,stock_f,scinternet_f,fpamt,fcamt,foamt
10206121001,2013,married,1,1,2,2,2,1,5,2,2,3,4,4,4,4,4,4,4,NA,0,0
10206121002,2013,married,1,1,2,2,2,1,5,2,4,4,4,4,4,4,4,4,4,NA,0,0
10206122002,2013,widowed,0,0,2,2,2,NA,4,4,4,4,4,4,4,4,4,4,4,0,0,0
10206123001,2013,married,0,1,2,1,1,2,3,3,4,4,4,4,4,4,4,4,4,0,1600,4000
10206123002,2013,married,0,1,2,1,1,1,3,2,4,3,4,4,4,3,4,4,4,0,1600,4000
10206124001,2013,married,0,1,2,2,2,2,5,3,4,4,4,4,4,4,4,4,4,0,800,0
10206124002,2013,married,0,1,2,2,1,1,5,4,4,4,4,4,4,4,4,4,4,0,800,0
10206125001,2013,widowed,0,1,2,2,2,1,3,1,4,4,4,4,4,4,4,4,4,0,2900,0
10206126001,2013,married,0,1,NA,NA,NA,2,3,2,4,4,4,4,4,4,4,4,4,0,200,1000
10206126002,2013,married,0,1,NA,NA,NA,2,3,4,4,4,4,4,4,4,4,4,4,0,200,1000
10206127001,2013,married,0,1,2,2,2,1,7,4,4,4,4,4,4,4,4,4,4,0,0,0
10206127002,2013,married,0,1,2,2,2,1,7,4,4,4,4,4,4,4,4,4,4,0,0,0
10206128001,2013,married,1,1,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,0,2080,10000
10206128002,2013,married,1,1,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,0,2080,10000
10206129001,2013,married,0,0,2,2,2,2,2,4,4,3,4,4,4,4,4,4,4,0,2000,0
10206129002,2013,married,0,0,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,0,2000,0
10206130001,2013,never,0,0,2,2,2,1,1,2,4,4,4,4,4,4,4,4,4,0,0,0
10206202001,2013,widowed,0,1,2,1,2,1,4,4,4,4,4,4,4,4,4,4,4,0,5400,0
10206203001,2013,widowed,0,0,2,1,1,2,6,3,3,4,4,4,4,4,4,4,4,0,0,0
10206204001,2013,widowed,1,1,2,2,2,2,5,4,4,4,4,4,4,4,4,4,4,0,200,0
10206205001,2013,married,0,1,2,2,2,1,4,4,4,4,4,4,4,4,4,4,4,NA,2000,0
10206205002,2013,married,0,1,2,2,2,1,4,4,4,4,4,4,4,4,4,4,4,NA,2000,0
10206206002,2013,married,0,1,2,2,2,2,6,4,4,4,4,4,4,4,4,4,4,0,0,300
10206206003,2013,married,0,1,2,2,2,2,6,4,4,4,4,4,4,4,4,4,4,0,0,300
10206207001,2013,widowed,0,1,2,2,2,2,2,3,4,4,4,4,4,4,4,4,4,0,NA,500
10206208001,2013,widowed,0,1,2,2,2,1,1,4,4,4,4,4,4,4,4,4,4,0,3200,50
